gold_left,level,total_damage_to_players,players_eliminated,num_traits,placement
2,9,127,2,10,1
0,9,110,0,8,1
7,9,165,2,5,1
0,7,45,0,5,0
10,8,105,1,8,1
3,9,129,3,6,1
4,8,54,0,4,0
0,10,186,2,7,1
0,9,75,1,5,0
7,8,59,0,7,0
6,10,112,0,7,0
4,9,130,2,5,1
1,9,96,0,8,1
2,9,96,0,7,0
3,7,64,0,3,0
2,10,185,2,5,1
7,7,13,0,4,0
1,9,81,0,6,0
2,8,199,3,5,1
4,8,115,1,8,1
2,9,172,3,7,1
0,8,118,0,8,1
2,8,112,2,7,1
12,7,47,0,2,0
0,9,138,4,5,1
21,8,68,0,3,0
6,8,169,3,5,1
13,8,155,1,5,1
3,8,19,0,6,0
1,9,157,3,6,1
0,8,33,0,3,0
1,9,104,1,6,1
0,8,100,0,6,0
9,8,9,0,4,0
20,8,102,1,5,1
0,8,31,0,5,0
12,8,70,1,5,0
1,9,128,0,7,1
1,9,160,2,8,1
2,9,131,1,9,1
3,8,54,0,5,0
0,8,53,1,5,0
6,10,191,3,8,1
4,8,122,2,7,1
2,9,213,4,7,1
1,8,74,0,5,0
3,9,155,3,6,1
6,8,76,0,7,0
0,8,57,0,7,0
2,8,77,0,5,0
5,9,170,2,5,1
5,9,173,5,6,1
0,9,65,1,6,1
8,8,85,1,5,1
249,10,0,0,3,1
3,8,90,0,6,0
0,7,38,0,2,0
1,8,66,0,5,0
1,9,96,0,8,0
18,7,49,0,5,0
5,9,194,1,5,1
6,9,107,1,7,1
1,9,119,1,8,1
0,9,88,0,8,0
12,8,201,2,4,1
5,8,64,0,8,0
1,9,41,0,3,0
23,7,97,1,4,0
28,8,144,0,7,1
14,8,45,0,5,0
0,9,119,1,5,1
0,9,59,0,5,0
4,9,109,1,10,1
1,8,63,0,3,0
8,9,138,1,6,1
1,9,61,1,7,1
0,9,128,1,9,1
0,9,90,1,7,1
4,8,57,0,9,0
2,8,104,1,5,1
1,7,45,0,4,0
0,9,174,1,6,1
0,8,85,0,7,0
0,8,58,0,6,1
2,8,59,0,9,0
0,9,132,0,6,1
10,7,137,4,7,1
8,8,137,3,8,1
3,9,116,0,8,0
12,8,105,0,8,1
4,9,99,0,5,0
11,8,128,1,6,1
1,7,118,1,3,1
3,8,12,0,6,0
11,7,28,0,3,0
1,8,110,2,7,1
1,6,51,0,7,0
0,10,140,1,5,1
6,9,0,0,6,1
13,8,63,0,6,0
1,9,123,0,6,1
1,9,61,0,5,0
3,7,114,0,7,1
5,8,26,0,6,0
0,8,80,0,8,1
1,9,97,0,5,1
4,7,78,0,4,0
2,8,115,1,5,1
0,8,20,0,6,0
0,8,85,1,5,0
44,10,0,0,14,1
0,8,89,0,5,0
7,7,53,1,3,0
1,7,49,0,5,0
2,8,75,0,6,0
11,7,106,1,3,1
0,8,63,0,4,0
0,9,104,1,5,1
4,8,97,1,5,1
2,10,243,3,7,1
0,8,61,0,2,0
1,8,76,0,8,0
1,8,35,0,6,0
9,8,94,1,7,1
3,9,92,0,9,1
0,8,76,0,5,0
11,8,157,3,5,1
21,8,180,4,5,1
10,8,98,0,5,1
6,10,179,3,10,1
0,7,67,0,5,0
1,10,112,3,8,1
0,8,49,0,3,0
1,9,203,3,6,1
12,9,158,3,8,1
0,7,43,0,3,0
43,8,88,1,7,1
1,8,93,0,5,0
1,8,46,0,5,0
19,9,150,1,9,1
2,9,107,1,8,1
2,8,59,0,4,0
1,8,106,0,7,1
2,9,116,0,6,1
44,8,39,0,7,0
0,8,93,0,7,0
3,10,192,2,9,1
3,10,72,2,6,1
0,7,91,0,5,0
12,9,166,1,6,1
2,7,12,0,2,0
6,9,118,1,6,1
1,9,112,2,7,1
0,7,119,1,6,1
1,8,0,0,7,0
8,8,77,0,5,0
1,9,119,2,8,1
1,8,144,1,6,1
4,6,14,0,3,0
1,9,98,2,6,1
27,7,28,0,5,0
2,9,166,2,8,1
1,8,79,0,6,0
1,8,92,1,4,0
3,8,99,1,6,1
1,8,68,0,8,0
1,8,0,0,8,0
1,9,155,2,3,1
10,8,54,0,3,0
22,8,243,5,5,1
214,10,0,0,9,1
11,9,188,3,8,1
1,7,57,0,5,0
1,9,130,2,5,1
4,9,175,3,7,1
0,9,66,0,6,0
9,9,94,0,6,0
30,8,42,0,7,0
2,8,127,0,7,1
1,10,194,3,7,1
3,8,67,1,5,0
1,8,17,0,5,0
11,9,137,2,5,1
14,7,53,0,5,0
9,9,177,3,9,1
9,8,140,1,4,1
1,9,144,2,8,1
2,8,92,1,6,0
0,8,119,2,9,1
12,8,165,2,6,1
1,7,45,0,5,0
0,8,54,0,6,0
12,8,106,0,5,1
21,8,66,1,5,0
1,8,39,0,8,0
3,8,68,0,4,0
6,9,200,3,7,1
0,8,109,2,6,1
1,7,103,1,7,0
1,8,37,0,5,0
3,8,22,0,3,0
51,9,167,1,8,1
13,7,58,0,5,0
0,8,76,1,5,0
0,7,43,0,3,0
2,7,41,0,5,0
4,9,101,2,10,1
51,8,49,0,7,0
2,9,199,2,6,1
1,8,77,0,4,0
20,8,0,0,7,0
2,9,106,1,7,1
0,8,77,0,7,1
1,8,54,0,5,0
1,8,38,0,3,0
3,8,70,1,5,0
2,8,62,0,7,0
5,9,143,1,4,1
4,8,73,0,4,0
1,8,123,1,8,1
10,9,116,3,6,1
0,7,101,0,5,0
15,9,99,0,6,1
1,10,180,2,8,1
6,9,70,1,8,1
2,9,144,0,7,1
1,7,111,0,5,1
14,8,30,0,4,0
3,10,169,2,6,1
11,8,68,0,7,0
1,10,129,1,6,1
3,9,107,1,9,1
1,8,86,2,5,0
2,8,174,4,5,1
2,6,43,0,2,0
0,9,82,1,7,0
0,8,25,0,6,0
0,8,72,0,6,0
5,9,95,1,9,1
0,7,63,0,5,1
2,8,81,3,8,1
0,7,27,0,2,0
8,9,96,1,7,1
4,8,43,0,4,0
0,9,105,1,6,0
2,9,84,0,6,0
1,9,33,0,7,0
2,10,217,2,8,1
2,9,155,1,5,1
1,8,111,1,5,1
2,7,60,0,4,0
8,9,151,1,8,1
0,8,44,0,5,0
8,8,88,0,7,0
22,9,118,1,7,1
1,8,94,0,5,1
1,9,74,1,8,0
3,9,37,0,5,0
10,8,77,0,5,0
4,8,102,0,4,0
5,8,45,0,5,0
0,8,119,2,3,1
1,9,211,2,10,1
1,8,52,0,7,0
1,9,95,0,5,1
1,9,144,1,5,1
4,9,120,1,9,1
12,9,161,2,8,1
13,8,39,0,7,0
2,9,119,1,7,1
0,8,58,0,8,0
1,7,72,1,2,0
0,9,78,0,5,0
0,8,38,0,8,0
3,8,69,0,6,0
0,8,28,0,5,0
13,9,162,2,5,1
0,8,53,0,4,0
0,8,99,1,5,1
0,8,52,0,7,0
2,9,126,0,8,1
13,9,30,0,8,0
4,8,113,2,6,1
1,8,84,1,8,0
0,8,56,0,6,0
1,9,87,0,9,0
1,7,65,0,5,0
0,8,98,0,3,1
3,8,64,2,6,1
1,6,32,0,3,0
6,10,189,3,8,1
0,8,33,0,3,0
0,9,75,1,5,1
6,9,130,2,8,0
3,7,2,0,4,0
1,8,51,0,6,0
1,9,79,0,5,0
11,9,220,4,9,1
1,9,82,0,5,0
0,9,80,0,7,0
6,9,67,0,7,0
50,8,39,0,8,0
11,7,17,0,5,0
1,9,93,1,5,0
41,9,120,0,4,1
2,9,135,1,7,1
11,8,150,1,6,1
3,9,169,3,6,1
0,8,147,1,4,1
15,9,168,2,10,1
0,8,80,0,6,0
1,8,117,1,7,1
0,8,109,0,4,1
1,8,66,1,6,0
1,8,142,1,3,1
1,7,81,1,5,0
1,7,128,1,3,1
5,7,34,0,2,0
0,9,137,1,8,1
28,7,78,0,5,0
0,9,125,1,7,1
0,8,40,0,4,0
1,8,65,0,4,0
2,7,165,2,5,1
19,8,27,0,5,0
0,9,53,0,7,0
2,8,80,0,9,0
4,10,188,2,8,1
1,9,66,2,10,1
0,9,97,0,7,1
0,8,38,0,9,0
8,9,188,3,6,1
3,8,54,0,4,0
1,6,30,0,1,0
23,8,106,2,6,1
2,8,109,0,3,1
1,9,90,0,7,0
12,8,86,0,6,0
0,8,63,0,5,0
1,9,158,2,9,1
16,7,99,0,5,1
1,9,125,1,6,1
1,9,88,2,5,1
0,8,102,1,5,1
0,8,27,0,6,0
0,7,113,1,7,1
7,7,78,0,5,0
3,7,2,0,3,0
0,8,131,1,7,1
0,8,42,0,4,0
1,8,78,0,1,0
3,9,107,1,3,1
0,8,11,0,4,0
2,10,0,0,7,1
3,8,103,1,5,0
2,8,89,1,6,1
3,9,54,0,6,0
0,7,14,0,4,0
2,9,244,3,10,1
15,7,35,0,3,0
30,8,81,0,5,1
1,9,125,1,8,1
1,9,84,0,3,0
1,8,52,0,5,0
13,9,134,0,6,1
0,8,68,1,6,0
11,8,78,0,3,0
0,7,57,0,7,0
1,8,100,0,9,0
30,8,86,0,4,0
5,8,80,0,6,1
1,8,39,0,6,0
27,7,114,1,7,1
17,8,73,1,5,0
21,9,31,0,4,0
6,8,44,0,7,0
0,9,127,0,6,1
3,9,170,3,6,1
2,9,118,1,10,1
1,9,51,0,6,0
3,8,79,0,3,1
64,8,26,0,8,0
0,7,49,0,5,0
51,8,39,0,6,0
1,9,154,2,7,1
15,7,62,0,5,0
11,10,225,2,8,1
0,8,38,0,6,0
1,9,81,1,6,1
0,9,84,0,8,0
3,10,189,4,8,1
3,8,41,0,4,0
6,9,138,2,5,1
57,8,100,0,4,0
2,8,29,0,6,0
2,8,51,1,5,0
2,7,48,0,3,0
6,8,165,3,8,1
0,7,62,0,5,0
0,8,102,1,3,1
2,9,125,2,8,1
6,8,150,3,3,1
4,9,76,1,8,0
4,9,103,0,5,1
26,8,211,2,8,1
3,8,55,0,6,0
0,9,108,1,5,1
0,8,73,1,7,1
0,8,15,0,5,0
2,8,70,0,7,0
1,10,171,2,7,1
2,9,179,1,5,1
1,9,107,1,9,1
2,8,168,3,6,1
0,8,12,0,3,0
10,8,104,2,7,1
13,7,101,1,5,0
2,8,68,0,0,0
1,9,167,1,4,1
6,9,59,3,5,1
5,9,94,0,5,0
2,8,48,0,2,0
70,8,160,2,2,1
3,9,165,3,5,1
26,9,182,2,7,1
0,8,87,0,5,1
1,7,113,0,7,1
15,8,40,0,7,0
0,9,62,0,8,0
16,9,147,3,9,1
1,8,108,2,5,1
19,8,168,2,3,1
4,9,198,2,9,1
1,9,79,1,6,1
0,7,28,0,2,0
0,8,34,0,6,0
0,8,90,1,3,1
0,5,14,0,3,0
0,9,127,0,7,1
1,7,70,0,3,0
1,10,36,2,9,1
12,8,49,0,5,0
15,8,136,1,7,1
3,7,41,0,7,0
0,8,122,0,7,1
10,8,136,0,6,1
0,8,73,0,7,1
2,9,131,0,9,1
0,8,92,1,7,0
1,7,50,0,5,0
0,8,70,0,5,0
5,8,6,0,3,0
0,10,112,3,8,1
2,7,101,2,3,1
7,8,40,0,8,0
3,8,38,0,6,0
3,9,91,0,7,0
1,7,63,0,7,0
19,8,120,2,6,1
2,8,129,1,6,1
1,7,44,0,7,0
52,8,119,1,5,1
2,8,93,0,3,0
1,9,81,0,7,0
0,8,126,2,3,1
1,9,115,2,8,1
3,9,133,0,7,1
3,9,87,0,9,0
14,8,87,1,7,0
1,7,51,0,3,0
55,8,54,0,3,0
4,9,126,0,6,1
1,8,87,1,6,0
0,9,219,2,8,1
11,9,173,2,6,1
3,8,145,0,6,1
3,7,90,0,2,1
1,9,94,2,10,1
2,8,32,0,7,0
2,9,163,3,8,1
6,8,27,0,5,0
2,8,94,1,0,0
1,8,47,0,7,0
0,8,128,0,5,1
12,7,91,1,3,0
11,8,60,0,4,0
4,8,68,0,5,0
4,8,89,1,5,1
2,8,140,2,7,1
1,8,74,0,6,0
0,8,83,0,5,0
7,8,70,1,7,0
1,8,66,2,5,1
0,8,158,1,4,1
0,9,111,0,8,0
11,8,132,0,6,1
1,9,230,4,6,1
3,10,89,1,9,1
6,9,133,1,5,1
20,10,93,0,6,1
0,8,122,1,5,1
1,7,48,0,5,0
2,8,22,0,7,0
1,9,77,0,5,0
0,8,84,0,4,0
0,8,121,1,5,1
3,8,110,1,5,1
0,9,125,2,7,1
0,8,53,0,7,0
56,9,218,3,9,1
9,10,69,1,9,0
1,8,98,0,5,1
0,7,25,0,4,0
1,8,84,0,4,0
0,8,102,0,6,1
3,9,188,1,5,1
3,8,73,0,4,0
2,7,99,1,7,1
1,8,113,3,4,1
1,9,84,1,9,1
1,8,114,1,6,0
5,8,86,0,8,0
19,8,96,2,5,1
1,9,178,0,8,1
0,8,74,1,5,0
4,8,81,1,3,1
7,8,86,0,6,0
36,8,108,1,6,1
0,9,80,0,10,0
29,7,46,0,4,0
0,9,147,1,6,1
0,9,61,0,3,0
1,7,53,0,1,0
1,9,90,1,7,1
4,8,106,1,5,1
0,8,48,0,8,0
18,8,30,0,7,0
0,9,140,1,5,1
1,8,5,0,0,0
0,8,67,0,8,0
0,8,77,1,8,0
0,8,101,0,6,1
0,8,85,1,2,0
5,9,140,1,9,1
1,7,26,0,4,0
0,8,66,0,7,0
0,8,57,0,8,0
0,9,105,0,5,1
7,9,96,0,6,0
1,9,128,0,9,1
0,8,78,0,6,0
2,8,116,0,5,0
3,8,102,0,5,1
2,9,72,0,8,0
1,9,110,0,8,1
6,10,194,2,9,1
0,9,140,0,10,1
22,7,77,0,7,0
43,8,96,1,4,0
1,8,158,2,7,1
0,8,89,0,6,0
3,8,48,0,8,0
33,8,131,0,6,1
14,8,47,0,5,0
35,9,133,1,6,1
1,9,97,1,6,0
0,8,128,1,4,1
1,9,52,0,5,0
1,8,46,0,5,0
1,8,61,0,3,0
2,8,128,2,6,1
1,7,45,0,5,0
1,9,168,1,5,1
1,8,54,0,5,0
0,8,85,1,7,1
4,9,155,3,8,1
0,9,54,0,7,0
1,9,190,2,5,1
11,8,41,0,3,0
7,8,61,0,4,0
1,9,83,0,8,0
6,9,164,2,6,1
1,8,42,0,8,0
30,7,62,0,3,0
0,8,71,0,5,0
55,10,0,0,6,1
1,9,230,3,7,1
2,8,74,1,8,0
1,9,162,3,7,1
2,9,99,0,7,1
2,10,185,2,9,1
0,9,152,1,9,1
1,9,53,0,7,0
1,9,111,0,7,1
0,8,101,1,5,1
1,9,112,0,5,1
0,9,174,2,6,1
46,8,55,1,5,0
2,7,87,0,3,0
4,9,148,1,5,1
2,9,99,0,4,1
1,10,102,1,7,1
1,9,58,0,4,0
2,10,184,3,9,1
1,8,133,1,7,1
2,8,71,0,6,0
0,9,130,0,8,1
1,8,76,0,3,0
19,8,29,0,4,0
2,9,168,2,7,1
11,8,83,0,4,0
1,8,44,1,7,0
21,8,44,0,5,0
6,9,109,1,7,1
3,8,104,1,6,0
1,9,105,0,6,1
2,9,143,1,5,1
2,9,115,0,7,0
0,9,191,1,6,1
13,8,72,1,8,0
0,9,189,2,5,1
3,9,133,1,10,1
3,8,135,1,5,1
0,8,105,1,4,1
8,8,101,1,2,1
17,8,209,2,5,1
17,8,64,2,6,1
0,8,64,0,4,0
2,9,117,2,6,1
2,9,197,5,5,1
1,8,57,0,7,0
8,9,182,3,3,1
1,8,96,0,4,0
6,6,25,0,4,0
4,8,26,0,5,0
0,9,101,1,7,1
1,8,140,1,3,1
0,8,166,2,7,1
1,8,50,0,6,0
1,9,109,1,5,1
2,9,205,3,5,1
0,8,97,2,6,1
0,8,120,1,6,1
3,8,180,3,4,1
0,8,102,2,7,0
1,8,51,0,6,0
0,10,59,0,6,0
0,8,90,1,4,0
8,9,127,0,5,1
0,9,124,2,7,1
2,8,118,2,7,1
0,8,114,0,8,0
1,8,112,0,6,1
28,7,17,0,2,0
1,8,125,1,7,1
0,8,88,0,5,0
0,8,178,1,6,1
6,8,36,0,5,0
0,9,120,0,8,1
4,10,118,0,9,1
5,7,75,0,3,0
4,8,66,0,6,0
2,8,136,1,6,1
3,7,107,1,6,1
24,9,168,4,6,1
3,8,151,4,8,1
0,8,44,0,3,0
3,9,163,1,8,1
0,8,98,0,8,0
1,9,138,1,6,1
12,9,91,0,10,1
6,8,89,0,5,0
3,9,120,1,8,1
3,8,53,0,4,0
4,8,116,0,8,1
5,8,29,0,3,0
1,8,153,2,5,1
0,8,109,0,6,1
1,8,130,2,6,1
8,7,71,0,4,0
1,8,73,0,8,0
1,7,61,0,3,0
0,8,86,0,7,0
1,9,65,0,9,0
0,9,99,1,8,1
1,9,127,0,8,1
3,9,216,3,7,1
12,9,174,2,7,1
4,8,55,0,8,0
21,8,129,1,6,1
1,9,114,1,5,1
1,8,61,0,7,0
28,7,64,0,4,0
0,7,77,0,7,0
3,8,142,2,3,1
1,9,139,2,10,1
3,8,49,0,4,0
7,9,222,2,7,1
2,9,124,1,5,1
9,10,103,0,7,0
1,8,65,0,8,0
1,9,198,1,6,1
1,7,29,0,5,0
7,7,75,0,6,0
3,8,144,1,6,1
0,8,112,0,6,1
3,8,115,0,6,1
2,9,148,2,10,1
0,9,119,1,4,1
1,8,123,1,6,1
4,7,93,1,7,0
0,7,46,0,3,0
2,9,59,0,7,0
3,10,171,4,9,1
5,8,58,0,5,0
5,8,96,1,4,1
0,9,148,1,8,1
1,7,62,0,4,0
1,9,75,0,5,0
30,9,180,2,7,1
1,8,43,0,3,0
0,8,86,2,5,0
0,8,65,0,6,0
0,9,138,1,8,1
20,7,104,1,6,1
1,9,99,0,5,1
1,9,171,3,4,1
4,9,135,3,7,1
2,10,153,0,5,1
21,8,59,0,7,0
8,9,166,1,9,1
1,10,0,0,7,1
1,8,31,0,6,0
0,8,17,0,5,0
11,10,228,3,8,1
1,9,38,0,5,0
1,9,185,2,7,1
23,9,164,3,7,1
3,9,98,0,6,1
16,8,69,0,6,0
0,8,139,0,7,1
9,8,58,0,6,0
4,10,204,4,5,1
46,8,91,0,6,1
2,8,99,0,5,1
6,10,157,3,11,1
1,8,12,0,8,0
1,8,56,0,2,0
4,8,74,0,4,0
0,8,88,0,4,0
5,10,61,2,6,1
0,9,117,3,7,1
2,7,81,0,3,0
0,8,90,0,3,0
0,8,109,2,6,0
9,9,85,0,8,1
29,9,103,3,5,1
1,9,84,0,5,1
16,8,119,2,6,1
19,9,106,0,9,1
0,8,58,0,6,0
6,9,157,1,4,1
4,8,87,0,5,0
1,8,24,0,3,0
9,8,51,0,5,0
2,8,66,0,4,0
0,9,42,0,5,0
7,8,105,0,8,1
3,8,15,0,3,0
0,8,123,2,6,1
0,7,127,1,7,1
2,8,71,0,6,0
4,8,128,3,5,1
0,8,57,0,6,0
0,8,63,0,6,0
9,7,68,0,4,0
1,9,68,0,5,0
0,8,48,0,7,0
6,9,51,0,6,0
0,9,105,1,8,1
0,8,92,0,6,0
0,8,111,1,5,1
2,8,70,0,5,0
1,7,75,0,6,0
10,7,74,0,3,0
0,8,68,0,5,0
14,7,15,0,3,0
1,8,128,1,6,1
10,8,120,0,5,1
1,9,87,0,4,0
0,8,66,0,5,0
2,8,138,1,2,1
0,10,121,1,9,1
0,7,82,0,5,0
1,9,129,1,8,1
0,8,52,0,2,0
0,8,62,0,6,0
3,9,188,2,10,1
1,8,105,1,10,0
2,7,49,0,5,0
0,8,116,2,6,1
1,8,93,0,6,0
8,8,113,2,6,1
9,8,27,0,8,0
2,8,149,2,4,1
5,8,129,1,6,1
20,7,32,0,2,0
2,8,95,0,7,0
2,7,43,0,5,0
0,8,131,1,5,1
0,8,15,0,5,0
14,7,41,0,3,0
8,9,198,2,6,1
1,9,156,2,6,1
2,7,121,0,7,1
31,7,58,0,5,0
2,9,73,1,7,0
1,7,27,0,2,0
3,8,63,0,5,0
2,9,126,0,6,1
1,9,181,3,5,1
1,7,70,1,5,0
6,10,36,3,7,1
5,8,105,0,8,1
2,9,110,2,10,1
1,8,86,0,8,1
1,8,155,2,5,1
1,9,175,2,8,1
0,8,71,0,5,0
1,9,146,2,8,1
0,8,53,0,5,0
3,9,129,0,10,1
0,7,28,0,5,0
3,9,161,3,8,1
45,8,68,0,8,0
6,9,104,1,10,1
4,8,99,1,6,1
2,8,51,0,3,0
1,9,187,2,6,1
11,8,190,3,4,1
51,8,198,2,3,1
4,8,69,0,3,0
22,10,186,1,9,1
3,10,188,2,5,1
6,8,112,1,6,1
1,7,46,0,4,0
0,8,65,0,5,0
2,9,120,0,6,1
2,8,192,2,5,1
3,8,134,1,8,1
7,8,104,1,6,1
0,7,40,0,3,0
0,8,124,2,7,1
4,9,115,1,7,1
2,9,97,1,3,0
12,8,190,3,6,1
2,9,122,1,5,1
1,7,93,0,5,1
10,8,151,3,4,1
1,9,85,0,5,0
1,9,81,0,3,0
1,8,16,0,6,0
0,7,76,0,3,0
11,8,31,0,3,0
0,7,65,0,5,0
2,9,93,3,8,1
1,9,198,2,10,1
1,8,106,1,5,1
1,9,166,2,5,1
5,9,174,3,7,1
3,8,76,0,7,0
2,8,76,0,8,0
23,8,28,0,5,0
0,7,76,0,4,0
1,8,14,0,6,0
0,8,50,0,5,0
3,8,86,0,6,1
0,8,106,0,8,0
1,8,68,0,8,0
3,8,65,0,3,0
1,7,53,1,6,0
0,7,69,0,4,0
2,7,52,0,3,0
1,8,110,1,7,1
7,8,80,0,5,0
0,8,69,0,5,0
3,8,55,0,6,0
1,9,82,0,6,0
1,10,177,4,9,1
0,8,99,1,4,1
1,8,34,1,5,1
5,8,75,0,5,0
13,8,99,0,7,0
1,8,80,0,9,0
0,9,63,0,7,0
13,8,13,0,7,0
0,7,20,0,4,0
1,7,73,0,3,0
2,9,110,0,5,1
1,8,204,3,6,1
4,9,97,0,5,1
1,7,26,0,6,0
13,8,91,0,5,1
6,9,82,0,6,0
0,9,108,1,5,1
0,9,98,0,8,0
5,7,64,0,3,0
1,9,109,3,6,1
0,7,49,0,4,0
7,9,121,1,6,1
8,8,73,0,7,1
24,9,149,2,6,1
2,8,143,3,4,1
10,9,59,1,5,1
0,8,55,0,5,0
0,8,141,0,4,1
19,8,77,1,6,0
6,9,130,1,9,1
1,9,66,1,7,0
1,9,55,0,8,0
3,7,77,0,7,0
31,8,93,2,8,1
1,8,50,0,6,0
4,8,109,0,7,0
62,8,48,0,5,0
0,8,127,1,6,1
0,9,91,0,9,0
1,9,97,0,7,0
2,8,113,2,7,1
0,7,34,0,7,0
82,8,35,1,8,0
6,9,203,4,5,1
0,9,109,2,7,1
6,7,51,0,5,0
3,9,192,2,5,1
3,8,160,1,6,1
0,10,0,0,7,1
4,9,174,3,9,1
1,9,94,3,5,1
1,9,52,0,7,0
0,7,57,0,2,0
1,8,101,1,7,0
0,8,53,0,6,0
14,8,87,0,5,0
6,7,101,0,7,1
0,9,64,0,6,0
2,7,40,0,3,0
3,8,99,0,3,1
2,7,69,0,7,0
19,8,57,0,6,0
0,8,74,0,7,0
7,7,96,0,6,1
15,8,102,1,5,1
1,8,86,1,8,0
1,8,84,0,5,0
6,9,108,0,6,1
4,9,103,1,8,1
1,8,61,0,7,0
1,9,141,1,4,1
2,7,151,2,5,1
1,9,46,2,8,1
4,9,127,1,7,1
1,8,106,0,5,1
0,8,99,2,5,1
2,8,95,0,7,0
1,9,106,1,8,1
0,9,142,1,6,1
3,8,10,0,3,0
2,8,46,0,8,0
9,10,213,3,9,1
0,9,84,0,4,1
0,8,69,0,4,0
2,8,88,0,5,0
2,9,107,1,8,1
0,8,109,2,5,1
5,8,186,2,5,1
2,9,104,1,4,1
1,9,83,0,7,0
14,8,102,0,6,0
19,8,106,3,4,1
1,8,104,2,6,1
0,8,75,0,5,0
1,9,118,0,7,1
3,9,157,5,7,1
5,8,137,3,6,1
37,8,50,0,6,0
1,8,61,0,3,0
1,9,139,3,9,1
3,9,203,3,6,1
1,8,77,1,8,1
32,7,40,0,2,0
0,8,74,1,5,0
0,8,52,0,6,0
29,8,40,0,6,0
3,10,159,2,8,1
0,9,139,1,6,1
0,8,80,0,6,0
0,9,163,1,10,1
1,10,0,0,14,1
1,7,127,2,3,1
17,8,184,1,1,1
1,9,154,1,3,1
3,8,56,1,6,0
1,8,116,0,3,1
17,8,120,1,5,1
2,7,20,0,7,0
1,9,116,0,8,1
11,8,125,1,5,1
6,9,128,0,9,1
0,9,69,0,5,0
0,8,41,1,6,0
0,9,118,0,4,1
6,8,57,1,7,0
5,9,180,4,5,1
4,7,69,0,5,0
2,9,200,2,5,1
2,9,167,3,9,1
13,10,208,2,9,1
2,7,52,0,2,0
61,8,0,0,12,1
2,8,69,0,6,0
2,8,117,2,7,1
2,9,28,0,4,0
0,9,65,0,8,0
47,8,88,1,5,1
0,7,33,0,3,0
37,6,33,0,4,0
15,10,210,3,9,1
2,9,131,1,9,1
0,8,153,2,7,1
5,9,175,4,10,1
1,10,149,2,6,1
0,8,61,0,5,0
1,7,93,0,5,0
2,8,41,0,6,0
0,7,65,0,5,0
1,9,122,0,8,1
5,7,40,0,5,0
3,10,111,0,6,0
2,8,128,1,8,1
2,9,148,3,10,1
3,7,103,0,7,1
4,8,184,3,4,1
2,9,128,2,7,1
0,8,124,1,6,1
0,9,146,1,9,1
0,9,63,1,8,0
5,9,49,0,8,0
1,9,128,0,4,1
0,8,67,0,5,0
0,8,22,0,4,0
5,8,70,3,5,1
3,8,96,0,3,0
39,8,118,2,6,1
4,9,189,1,7,1
1,8,128,0,6,1
14,10,204,3,7,1
3,7,78,0,6,0
7,9,178,3,8,1
2,9,145,1,4,1
0,8,59,0,4,0
0,8,136,1,6,1
17,10,227,2,5,1
0,7,65,0,5,0
0,9,70,0,8,0
10,7,92,2,4,0
24,8,115,0,5,1
2,10,169,2,1,1
1,8,131,1,5,1
1,9,161,1,8,1
6,9,135,2,5,1
1,9,104,1,5,1
1,9,223,2,6,1
2,9,139,2,8,1
2,9,136,0,8,1
1,9,70,0,7,0
1,6,39,0,3,0
10,9,195,3,10,1
1,8,21,0,7,0
1,8,36,0,6,0
8,9,211,3,8,1
1,9,160,4,8,1
1,9,81,0,5,0
52,8,73,0,7,0
0,8,36,0,4,0
3,9,171,1,5,1
2,9,134,2,6,1
1,7,59,0,4,0
1,8,83,1,5,1
42,9,119,1,5,1
1,8,25,0,5,0
1,9,121,2,10,1
37,8,41,0,8,0
4,8,28,1,4,0
0,6,26,0,2,0
1,7,21,0,3,0
0,7,100,0,3,1
1,8,129,1,6,1
0,9,66,0,6,1
61,8,28,0,4,0
0,7,35,0,4,0
2,8,90,0,8,0
4,8,93,0,3,0
4,9,114,1,1,1
2,7,48,0,4,0
6,8,46,0,0,0
3,8,35,0,7,0
0,9,129,1,6,1
1,9,98,1,8,1
2,7,31,0,6,0
37,9,159,0,8,1
6,8,24,0,8,0
4,7,109,2,7,1
3,8,120,0,7,1
0,9,114,1,7,1
1,8,121,1,5,1
0,8,33,0,4,0
1,9,184,3,7,1
5,8,70,0,8,0
20,9,107,0,7,0
2,9,164,3,8,1
0,8,93,0,7,0
0,10,30,0,6,0
1,8,44,0,5,0
7,9,205,3,8,1
0,8,53,0,5,0
2,9,131,0,9,1
1,8,62,0,3,0
8,9,94,0,8,0
0,9,75,0,7,0
0,8,99,1,8,0
0,8,62,0,4,0
30,7,91,1,2,1
5,8,103,2,6,1
7,7,89,1,4,0
1,10,74,3,6,1
6,9,116,1,8,1
14,7,83,0,5,0
1,9,100,0,4,1
0,9,133,1,8,1
6,9,164,3,8,1
3,8,72,0,3,0
40,8,103,0,3,0
2,9,160,2,8,1
0,9,104,1,4,0
42,8,34,0,4,0
1,9,177,4,7,1
2,7,96,0,7,0
5,9,164,2,6,1
0,8,135,2,6,1
0,9,80,0,7,0
9,10,206,3,8,1
4,9,95,0,8,1
3,7,74,0,3,0
10,8,32,0,8,0
24,9,142,1,6,1
8,8,65,0,8,0
25,8,21,0,7,0
0,7,34,0,2,0
0,7,17,0,2,0
5,8,92,0,6,1
1,8,48,0,9,0
24,9,166,3,6,1
9,8,96,0,6,0
